date_availability_nk,country_name,sku,riro,runin,runout,as400_sku_description,sku_name,website_url,product_size,brand_name,supplier_number,supplier_name,category_fpna_l1_name,category_fpna_l2_name,category_fpna_l3_name,category_fpna_l4_name,,dc_fd,dc_d,listed_online,listed_online_ex_fdd,abcde_ranking,npd,npd_launch_date,has_distribution_code,min_date_trading,zones,min_zoning_date,rsp_retail,rsp_digital,unit_cost_retail,unit_cost_digital,isa_percent,da_percent,rwa_percent,retail_dc_soh,retail_dc_stock_val,digital_dc_soh,digital_dc_stock_val,stores_zoned,stores_available,stores_stocked,stores_soh,stores_stock_val,volume_digital,volume_retail,sales_amount_digital,sales_amount_retail,sales_units_1w_digital,sales_units_1w_retail,sales_units_4w_digital,sales_units_4w_retail,sales_units_16w_digital,sales_units_16w_retail,sales_units_26w_digital,sales_units_26w_retail,sales_units_52w_digital,sales_units_52w_retail,sales_1w_digital,sales_1w_retail,sales_4w_digital,sales_4w_retail,sales_16w_digital,sales_16w_retail,sales_26w_digital,sales_26w_retail,sales_52w_digital,sales_52w_retail,margin_digital,margin_retail,margin_rate_digital,margin_rate_retail,margin_4w_digital,margin_4w_retail,margin_16w_digital,margin_16w_retail,margin_26w_digital,margin_26w_retail,margin_52w_digital,margin_52w_retail
2/8/2023,United Kingdom,74886,,,,WHITE'S OAT BRAN - MEDIUM 500G,Whites Oat Bran Medium 500g,https://AAA/shop/product/whites-oat-bran-medium-60074886?skuid=074886,500G,Whites,9119,WHITES SPEEDICOOK LTD,Food,Breakfast & Spreads,Cereals,Bran,"SUPERFOODS, SEEDS & CEREALS",0,0,1,1,A,0,12+ months ago,1,1/10/2017,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 21, 22, 23, 24, 60, 61, 62, 63, 64, 65, 66",16/03/2021,1.99,1.99,0.66,0.66,0.944968553,1,1,4271,2818.86,858,566.28,636,601,676,6941,4581.06,44,306,84.04,574.72,44,306,912,10652,3132,35743,5145,53538,10449,95020,430.17,4501.202,1362.39,16927.898,4606.08,58122.886,7225.75,85734.536,14335.1283,149465.229,55,372.76,0.654450262,0.648594098,908.03,11703.938,2975.0653,40716.7064,4520.7881,60419.18,9021.502,104062.3638
2/8/2023,United Kingdom,60268,Runin,60268,49425,H&B SAW PALMETTO 450MG 180,AAA Saw Palmetto 180 Capsules,,180,AAA,7151,H&B INTERNAL PACKAGING,VHMS,"Bladder, Prostate & Sexual Health",Prostate Support,Prostate Support,ADULT HEALTH,0,0,1,1,A,0,12+ months ago,1,26/07/2022,"1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 40, 95",10/8/2022,32.49,32.49,4.34,4.62,0.995821727,1,1,6338,27506.92,271,1176.14,718,715,717,5483,25331.46,10,50,184.8164,1021.508,10,50,501,1406,2353,7399,3196,10148,3284,19227,2011.1561,7015.6743,9169.383,29110.2649,37368.9059,124223.8522,52237.1406,180836.9342,53259.3726,343978.8402,138.6164,804.508,0.750022184,0.787568967,6854.673,23007.6949,26839.5759,92111.7122,38055.0706,136907.1842,38695.3826,261443.2902
2/8/2023,United Kingdom,43896,,,,MIAROMA LEMONGRASS 10ML 10ML,Miaroma Lemongrass Pure Essential Oil 10ml,https://AAA/shop/product/miaroma-100-pure-lemongrass-oil-60043896?skuid=043896,10ML,Miaroma,6175,FIRST NATURAL BRANDS LTD,Beauty,Aromatherapy,Oils,Essential & Diffuser Oils,AROMATHERAPY,0,0,1,1,B,0,12+ months ago,1,5/8/2020,"1, 2, 3, 20, 21, 22",3/9/2020,5.5,5.5,0.7,0.7,0.981843575,1,1,1423,996.1,133,93.1,716,703,706,3114,2179.8,11,68,29.6747,217.274,11,68,184,1748,1036,8166,1530,12640,3453,24492,171.9319,1621.403,585.9707,6308.263,2942.6691,26577.6549,4471.6428,42168.9822,9330.6431,78340.6041,21.9747,169.674,0.740519702,0.780921785,457.1707,5095.773,2219.5491,20972.4949,3414.3828,33650.6022,6984.8031,62102.0441
2/8/2023,United Kingdom,61381,,,,*TODDLE BITE&STING SPRAY 25ML 25ML,Toddle Bite & Sting Relief Spray 25ml,https://AAA/shop/product/toddle-bite-sting-relief-spray-60061381?skuid=061381,25ML,Toddle,22111,TODDLE,Beauty,Toiletries,Baby & Child,Toiletries,TOILETRIES,0,0,1,1,E,0,12+ months ago,0,4/5/2022,,,5.99,5.99,2.15,2.15,,1,,0,0,2,4.3,0,0,3,3,6.45,1,,4.9916,,1,,12,-1,54,1,71,1,149,3,8.8916,,55.3412,-4.992,214.2983,4.9913,289.5058,4.9913,633.7275,13.9745,2.8416,,0.569276384,,29.5412,-2.842,98.1983,2.8413,136.8558,2.8413,313.3775,7.5245
2/8/2023,United Kingdom,60302,Runin,60302,1330,H&B CHELATED COPPER2MG 90TABS,AAA Chelated Copper 2mg 90 Tablets,https://AAA/shop/product/AAA-chelated-copper-tablets-2mg-60001330?skuid=060302,90TABS,AAA,7151,H&B INTERNAL PACKAGING,VHMS,"Heart, Vision & Brain Health",Heart,Herbal & Mineral,ENERGY & PERFORMANCE,0,0,1,1,C,0,12+ months ago,1,30/04/2022,"1, 2, 3, 4, 5, 6, 7, 8, 21, 22, 23, 24, 25, 26, 27, 95",14/04/2022,7.49,7.49,0.45,0.45,0.994350282,1,1,324,145.8,101,45.45,177,176,186,789,355.05,13,16,53.333,75.8663,13,16,207,409,903,1713,1604,2789,2817,5608,250.7154,513.1128,896.7036,2041.1445,4094.6688,8760.562,7061.6198,13973.9023,12461.5449,27983.4972,47.483,68.6663,0.890311814,0.905096202,803.5536,1856.7845,3688.3188,7985.012,6339.8198,12719.8223,11196.5249,25489.6072
2/8/2023,United Kingdom,35939,,,,BIONA LENTIL TURM DAL 350G,Biona Organic Red Lentil Turmeric Dahl 350g,https://AAA/shop/product/biona-organic-red-lentil-turmeric-dahl-60035939?skuid=035939,350G,Biona,23149,WINDMILL ORGANICS LTD,Food,Food Cupboard,"Cooking Essentials - Tins, Jars & Sauces","Cooking Essentials - Tins, Jars & Sauces",BAKING & FOOD CUPBOARD,,,0,0,E,0,12+ months ago,0,5/3/2020,,,2,2,1.51,,,,,2,3.02,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,17.47,,,,,,,,,,,,0.86
2/8/2023,United Kingdom,83557,,,,*DR O VIT E BATH&SHOWER 250ML,Dr Organic Vitamin E Body Wash 250ml,https://AAA/shop/product/dr-organic-vitamin-e-body-wash-60083557?skuid=083557,250ML,Dr Organic,4203,DR ORGANIC LIMITED,Beauty,Toiletries,Toiletries-Shower & Bath,Body Wash & Scrub,TOILETRIES,0,0,1,1,C,0,12+ months ago,1,1/10/2017,,,6.49,6.49,1.737777778,1.8,,1,,1033,1859.4,172,309.6,0,0,37,100,180,14,,50.0748,,14,,210,18,613,168,1198,327,4012,1463,206.0903,3.808,771.9803,71.6646,2075.1316,484.8687,4001.3815,1097.5119,11410.6533,5337.0905,29.9148,,0.597402286,,469.5803,46.8646,1192.4116,256.2087,2276.2615,656.4919,5795.4353,3358.4065
2/8/2023,United Kingdom,640,Runout,60290,640,H&B B-2 100MG 100,AAA B2 100 Tablets 100mg,https://AAA/shop/product/AAA-b2-tablets-100mg-60000640?skuid=000640,100,AAA,7151,H&B INTERNAL PACKAGING,VHMS,Energy & Performance,Energy Support,Vit B,ENERGY & PERFORMANCE,1,0,0,0,A,0,12+ months ago,1,1/10/2017,,,4.1,4.1,1.889230769,1.89,,,,702,1326.78,,,0,0,37,168,317.52,,,,,,,,52,,264,,662,4,1371,,29.039,,100.454,,820.919,,2257.301,14.8916,5111.454,,,,,,2.214,,322.039,,1006.201,7.3316,2525.224
2/8/2023,United Kingdom,19095,,,,*H&B TEEN OMEGA 3 ORANGE PN 30,"AAA Teen Omega 3 Fish Oils with A,D,E & C Juicy Orange Flavour 30 Chewy Capsules",https://AAA/shop/product/AAA-teen-omega-3-fish-oils-with-ade-c-juicy-orange-flavour-chewy-capsules-60019095?skuid=019095,30,AAA,7151,H&B INTERNAL PACKAGING,VHMS,Children's Health,Teen,Teen,CHILDREN'S HEALTH,1,0,0,0,E,0,12+ months ago,1,29/10/2018,,,1.1,1.1,1.88,1.871081081,,,,0,0,0,0,0,0,1,1,1.88,,,,,,,,,,,,,111,118,,,,,,,,,130.2239,109.684,,,,,,,,,,,-77.4661,-112.156
2/8/2023,United Kingdom,51609,,,,*TWININGS BIOBLENDSCAMOMILE 18,Twinings Bioblends Camomile & Linden 18 Tea Bags,https://AAA/shop/product/twinings-bioblends-camomile-linden-60051609?skuid=051609,18,Twinings,2471,R. TWINING AND COMPANY,Food,"Teas, Hot Beverages & Milks",Teas,Teas-Other,"TEAS, HOT DRINKS & MILKS",1,1,0,0,D,0,12+ months ago,1,12/7/2021,,,1.99,1.99,2.07,1.630353982,,,,0,0,,,0,0,247,941,1947.87,,14,,21.17,,14,,528,113,3392,206,4515,425,6508,,132.75,,636.76,219.46,4316.47,410.34,6619.24,861.03,11656.172,,6.68,,0.31554086,,-444.53,75.16,-1211.9,151.81,-287.77,324.2325,2069.277
2/8/2023,United Kingdom,41768,Runout,60676,41768,REMEDY SWITCHEL TROPICAL 250ML,Remedy Switchel Tropical 250ml,https://AAA/shop/product/remedy-switchel-tropical-60041768?skuid=041768,250ML,Remedy,25013,REMEDY DRINKS UK,Food,Drinks,Chilled Drinks,Chilled Drinks-Kombucha,CHILLED RTDS,1,1,0,0,B,0,12+ months ago,1,11/3/2020,,,0.3,0.3,0.71,,,,,0,0,,,0,0,2,9,6.39,,,,,,,,,,,,,,5,,,,,,,,,,1.425,,,,,,,,,,,,-2.125
2/8/2023,United Kingdom,36939,,,,*H&B SLIMBIOME THERMO 21,AAA Slimbiome Thermo Strawberry & Lime Flavour 21 Sachets,https://AAA/shop/product/AAA-slimbiome-thermo-strawberry-lime-flavour-sachets-60036939?skuid=036939,21,SlimExpert,3437,CAMBRIDGE COMMODITIES LTD,VHMS,Weight & Body Management,Nutrition support/Meal replacement,Nutrition support/Meal replacement,WEIGHT MANAGEMENT,1,1,0,0,E,0,12+ months ago,1,15/01/2020,,,2.5,2.5,,,,,,0,0,,,0,0,2,7,28.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2023,United Kingdom,18959,Runout,60284,18959,H&B KOREAN GINSENG VN 500MG 200,AAA Korean Ginseng 200 Capsules,https://AAA/shop/product/AAA-korean-ginseng-1500mg-90-tablets-60018958?skuid=018959,200,AAA,7151,H&B INTERNAL PACKAGING,VHMS,Energy & Performance,Energy Support,Herbals,ENERGY & PERFORMANCE,1,0,0,0,A,0,12+ months ago,1,27/04/2018,,,22.99,22.99,3.61137931,,,,,216,784.08,,,0,0,31,183,658.8,,,,,,,,29,,312,,629,,1100,,15.7,,304.315,,2897.815,,6013.819,,11654.713,,,,,,199.585,,1775.175,,3765.269,,7809.753
2/8/2023,United Kingdom,36974,,,,JASON TEA TREE BODYWASH 887 SINGLE,Jason Tea Tree - Purifying Body Wash 887ml,https://AAA/shop/product/jason-tea-tree-purifying-body-wash-60036974?skuid=036974,SINGLE,Jason,11105,KINETIC ENTERPRISES LTD,Beauty,Toiletries,Toiletries-Shower & Bath,Body Wash & Scrub,TOILETRIES,,,0,0,E,0,12+ months ago,0,17/10/2019,,,6.5,6.5,4.55,,,,,0,0,,,,,,,,,,,,,,,,,3,,5,,17,,,,,,15.875,,35.775,,142.984,,,,,,,,2.225,,13.025,,72.459
2/8/2023,United Kingdom,47313,,,,H&B OMEGA 3 FISH OIL1500MG 240,AAA Omega 3 Fish Oil 1500mg 240 Capsules,https://AAA/shop/product/AAA-extra-strength-omega-3-fish-oil-capsules-1500mg-60035714?skuid=047313,240,AAA,7151,H&B INTERNAL PACKAGING,VHMS,"Heart, Vision & Brain Health",Heart,Fish Omegas,"HEART, VISION & BRAIN",0,0,1,1,B,1,6-11 months ago,1,21/10/2022,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",23/11/2022,45.99,45.99,7.96,9.75,0.951895044,1,1,2397,19080.12,129,1026.84,686,653,654,3185,31053.75,5,39,97.7249,1124.378,5,39,81,1018,625,3348,1260,5872,1700,7294,1627.349,10516.011,2112.2153,29564.263,15385.0175,98788.8372,30907.2983,171293.1028,42385.8527,214903.062,48.9749,813.938,0.501150679,0.723900681,1402.8653,21965.153,10829.5875,74580.4172,21846.9183,129159.5728,30197.0727,162687.172
